name,lat,long,alt,heading
Canada_Alberta_Calgary_SCRCMC E-W,50.9352445,-113.843567,1024.0,0.7048345637634305
Canada_Alberta_Lethbridge_Broxburn RC,49.746617,-112.703714,881.0,-0.13131166761071864
Canada_Alberta_Red Deer_CARFF E-W,52.2023158,-113.705302,895.0,-0.029477364331105944
Canada_British Columbia_Cloverdale_Spectrum Flyers,49.09111,-122.748839,1.0,-0.9201985407202634
Canada_British Columbia_Nanoose Bay_PDQ,49.274399,-124.225819,113.0,0.4709277268651344
Canada_British Columbia_Victoria_VRCMS,48.565785,-123.391315,26.0,0.8481133123190625
Canada_Ontario_Barrie_RC 400 Club,44.193117,-79.660218,222.0,1.3070749982143635
Canada_Ontario_Beeton_SMAC L11S,44.1053511,-79.8193495,219.0,-0.23234650060842788
Canada_Ontario_Ottawa_Stetson Flyers,45.334453,-75.421195,72.0,-0.3947629585519932
Canada_Ontario_Port Hope_Millson Field,43.9894431,-78.4288762,161.0,1.2094885177807189
Canada_Quebec_Mirabel_Amidair main,45.755005,-73.903879,67.0,-0.7038751460479781
Canada_Quebec_Mirabel_Amidair evening,45.755005,-73.903879,67.0,0.2956537705497659
Canada_Quebec_Montreal_Wimac-1,45.455326,-73.915825,27.0,-2.7509470266843254
Canada_Quebec_Montreal_Wimac-2,45.455326,-73.915825,27.0,2.6337613247408433
Canada_Quebec_Ste-Anne des Plaines_Amidair-G-main,45.753713,-73.753812,60.0,0.7875901799429135
Canada_Quebec_Ste-Marthe_Montreal RC Club,45.406678,-74.378143,67.0,1.7633636774269437
Chile_Lampa_Santiago_RCUC,-33.298356,-70.831017,486.0,-1.945552980432089
Chile_Tiltil_Santiago_CACH Pista 1,-33.10839321069415,-70.77629099529408,581.0,2.382350355136651
Chile_Tiltil_Santiago_CACH Pista 2,-33.11128131523122,-70.77801640458584,581.0,-2.8966142879675125
China_Fujian_Fuzhou_DMC,26.1995765,118.9932559,20.0,2.385528973357004
China_Fujian_Fuzhou_DMC2,26.2015376,118.9946235,20.0,2.3100577115112
China_Fujian_Fuzhou_DMC morning,26.2015376,118.9946235,20.0,1.2632018027935035
China_Jiading_Shanghai_1,31.322858,121.2342008,6.0,0.0
China_Jiangsu_Nanjing_SMS Morning,32.1891572,118.8399765,3.0,2.161264541406617
China_Jiangsu_Nanjing_SMS afternoon,32.1891572,118.8399765,3.0,-0.9900688426151729
China_Shanxi_Datong_Datong morning,39.9410487,113.3962131,1017.3,-2.4535537060889023
China_Shanxi_Datong_Datong afternoon,39.9406584,113.3957714,1017.3,0.6889931507239726
China_Yunnan_Shilin_Jinkongque,24.841355488300326,103.34181260937584,1786.4,-1.4732598679233515
